study_name,study_id,replicated,posemo,certain
study,1,1.0,1.36,1.75
study,3,0.0,1.92,1.17
study,4,1.0,1.41,1.36
study,5,0.0,1.85,0.69
study,6,0.0,0.63,0.72
study,7,0.0,1.26,0.77
study,8,1.0,2.91,0.61
study,9,0.0,0.35,0.69
study,10,1.0,1.57,0.71
study,11,0.0,2.12,0.81
study,12,1.0,0.81,1.55
study,13,1.0,1.01,1.23
study,14,0.0,2.66,0.62
study,15,0.0,1.51,1.0
study,16,0.0,1.86,0.7
study,17,0.0,1.01,1.63
study,18,1.0,1.07,1.46
study,19,0.0,1.85,0.23
study,20,0.0,0.77,1.09
study,21,0.0,5.32,0.38
study,22,0.0,1.73,0.5
study,23,1.0,1.21,1.85
study,24,0.0,0.99,0.0
study,25,1.0,0.94,0.94
study,26,0.0,1.47,2.33
study,27,1.0,0.37,1.11
study,28,1.0,3.62,2.98
study,29,0.0,0.97,1.26
study,31,0.0,1.55,0.83
study,32,0.0,2.32,1.09
study,33,0.0,0.7,0.85
study,35,0.0,4.78,1.47
study,37,0.0,3.64,0.58
study,38,0.0,1.35,0.71
study,39,1.0,5.19,3.56
study,40,0.0,2.15,0.37
study,42,0.0,1.2,0.51
study,43,1.0,0.45,1.29
study,44,0.0,2.99,0.77
study,45,0.0,0.83,3.08
study,46,0.0,2.53,2.05
study,47,1.0,1.67,1.33
study,48,1.0,0.64,1.76
study,49,1.0,2.49,1.94
study,50,0.0,2.23,1.35
study,51,1.0,3.74,1.25
study,52,1.0,0.8,2.71
study,53,0.0,0.65,0.65
study,54,1.0,0.26,1.31
study,55,1.0,0.33,1.1
study,56,0.0,0.42,0.45
study,57,0.0,0.13,1.07
study,58,0.0,0.69,1.03
study,59,0.0,2.84,1.57
study,60,1.0,1.38,0.4
study,62,1.0,2.37,0.92
study,64,0.0,1.34,1.01
study,65,0.0,1.05,0.67
study,66,0.0,2.34,0.9
study,68,0.0,0.74,0.43
study,71,0.0,3.41,1.19
study,72,0.0,2.04,1.37
study,73,0.0,2.31,0.67
study,74,0.0,2.62,1.57
study,75,0.0,1.53,1.32
study,77,0.0,0.64,2.09
study,78,1.0,3.95,0.66
study,79,0.0,2.91,1.85
study,80,0.0,1.28,1.0
study,81,0.0,7.44,0.83
study,82,0.0,0.77,0.35
study,83,1.0,0.62,0.77
study,86,0.0,1.94,1.88
study,87,1.0,0.93,1.32
study,88,1.0,4.01,1.06
study,89,1.0,1.14,2.08
study,91,1.0,2.29,1.63
study,93,0.0,1.26,0.85
study,94,1.0,3.72,0.57
study,95,0.0,1.18,1.27
study,96,0.0,2.15,0.27
study,97,1.0,0.41,0.77
study,98,1.0,0.18,0.9
study,100,1.0,0.23,1.32
study,101,0.0,0.92,1.26
study,102,1.0,0.56,0.74
study,103,1.0,0.76,1.61
study,104,0.0,0.85,2.43
study,105,1.0,2.06,3.36
study,107,0.0,3.74,0.96
study,109,0.0,2.4,1.15
study,110,0.0,0.33,1.21
study,111,1.0,4.52,1.36
study,112,1.0,2.34,1.75
study,113,1.0,1.53,1.66
study,114,1.0,0.54,1.07
study,115,0.0,0.36,1.63
study,116,0.0,1.11,0.56
study,117,1.0,3.9,1.24
study,118,1.0,2.16,1.3
study,119,1.0,0.77,0.62
study,120,1.0,2.06,1.12
study,122,1.0,0.26,0.79
study,123,0.0,0.78,0.39
study,124,1.0,0.0,1.02
study,125,1.0,3.63,0.64
study,126,0.0,2.29,0.69
study,127,0.0,2.68,1.46
study,129,0.0,4.3,2.15
study,130,0.0,2.48,0.74
study,131,1.0,4.27,0.0
study,132,0.0,1.4,0.99
study,133,1.0,2.8,1.27
study,134,1.0,3.19,1.13
study,135,1.0,3.09,0.96
study,136,0.0,1.07,0.68
study,137,1.0,3.34,1.83
study,138,0.0,2.71,1.43
study,139,1.0,1.71,1.27
study,140,0.0,1.44,0.76
study,141,1.0,3.07,0.89
study,142,1.0,1.24,0.61
study,143,1.0,2.86,0.94
study,144,0.0,1.87,1.72
study,145,0.0,3.24,2.03
study,146,1.0,2.0,1.07
study,147,1.0,1.71,1.55
study,148,1.0,2.4,1.29
study,149,0.0,1.75,1.62
study,150,1.0,1.51,0.88
study,152,1.0,2.37,2.05
study,153,1.0,0.58,1.45
study,154,1.0,2.22,0.78
study,155,1.0,4.6,1.53
study,156,1.0,0.94,1.1
study,157,1.0,2.77,1.79
study,158,0.0,0.83,1.38
study,159,0.0,3.64,0.45
study,160,1.0,3.02,1.23
study,163,1.0,1.74,0.97
study,164,0.0,4.45,0.89
study,165,0.0,2.16,2.59
study,166,1.0,1.26,1.9
study,167,0.0,6.89,1.66
study,168,1.0,3.61,1.53
study,169,1.0,2.1,0.97
study,170,1.0,2.9,2.39
study,171,0.0,1.07,0.54
study,172,0.0,2.95,1.25
study,173,1.0,0.61,1.24
study,174,0.0,2.35,0.63
study,175,1.0,1.62,1.43
study,177,0.0,0.65,0.87
study,181,0.0,2.29,0.4
study,183,1.0,4.11,0.73
study,184,1.0,0.0,1.46
study,185,0.0,3.45,2.3
study,186,0.0,2.62,2.84
study,187,0.0,3.7,1.17
study,188,0.0,2.71,0.71
study,189,1.0,2.84,1.42
study,190,0.0,0.61,1.54
study,191,0.0,2.72,0.91
study,192,0.0,4.49,1.18
study,193,0.0,1.97,1.5
study,194,0.0,2.52,1.05
study,195,1.0,1.25,1.25
study,196,1.0,0.76,1.2
study,197,0.0,3.16,0.76
study,198,0.0,2.09,1.09
study,199,0.0,3.4,1.13
study,200,1.0,1.42,2.57
study,208,1.0,1.75,1.53
study,209,0.0,4.76,1.53
study,210,0.0,2.15,0.94
study,211,1.0,0.37,0.83
study,212,0.0,1.48,1.45
study,213,1.0,1.43,1.99
study,214,0.0,1.45,0.78
study,216,0.0,3.15,0.67
study,218,1.0,0.99,1.49
study,220,0.0,6.01,1.9
study,222,0.0,3.38,4.18
study,223,0.0,0.75,0.75
study,224,0.0,0.64,1.17
study,225,0.0,1.98,1.07
study,226,0.0,2.33,1.13
study,229,0.0,1.88,1.49
study,230,1.0,2.12,0.45
study,232,1.0,2.17,1.43
study,233,0.0,2.76,4.56
study,234,1.0,1.67,1.59
study,235,1.0,0.84,0.76
study,237,0.0,0.98,1.78
study,238,0.0,3.78,0.76
study,239,1.0,1.13,0.62
study,240,0.0,1.68,1.23
study,241,1.0,1.19,1.58
study,242,1.0,2.2,0.78
study,243,0.0,2.14,0.69
study,244,0.0,1.68,1.25
study,245,0.0,1.72,1.05
study,246,1.0,2.95,1.2
study,247,1.0,0.52,0.79
study,249,0.0,3.48,1.15
study,250,0.0,2.24,1.19
study,251,0.0,0.7,2.63
study,252,0.0,1.1,1.1
study,253,0.0,2.28,0.91
study,254,0.0,2.91,2.07
study,257,1.0,1.03,1.21
study,260,0.0,1.22,0.68
study,261,0.0,1.86,2.46
study,262,0.0,3.01,0.38
study,263,0.0,6.74,1.35
study,264,0.0,2.68,1.08
study,265,0.0,3.14,0.5
study,266,0.0,2.67,1.77
study,267,0.0,1.24,0.35
study,269,0.0,0.87,0.43
study,273,1.0,2.61,0.15
study,274,0.0,1.7,1.85
study,278,0.0,0.55,0.55
study,279,1.0,1.17,1.4
study,283,0.0,1.7,0.46
study,285,1.0,0.1,0.5
study,286,1.0,0.62,1.17
study,287,1.0,0.71,1.22
study,288,1.0,0.78,1.13
study,289,1.0,1.38,0.69
study,293,1.0,0.49,1.07
study,295,1.0,1.74,1.5
study,296,1.0,1.37,1.14
study,297,0.0,0.62,1.28
study,298,0.0,1.15,0.57
study,300,0.0,0.96,1.79
study,301,1.0,1.88,1.99
study,302,1.0,2.26,2.18
study,303,1.0,4.2,4.2
study,304,0.0,1.76,1.32
study,307,1.0,3.7,1.07
study,308,1.0,0.96,1.3
study,310,0.0,2.36,2.2
study,311,0.0,1.48,1.08
study,312,1.0,1.69,2.24
study,314,1.0,0.68,0.57
study,315,0.0,1.43,1.87
study,316,0.0,0.65,1.62
study,317,0.0,1.7,3.23
study,318,1.0,1.58,1.54
study,121a,0.0,1.86,0.93
study,121b,0.0,4.05,0.9
study,121c,0.0,3.4,0.85
study,151a,1.0,1.49,0.85
study,151b,1.0,2.25,0.45
study,161a,1.0,2.56,2.48
study,161b,1.0,2.53,3.64
study,206a,0.0,1.67,0.84
study,206b,0.0,1.95,0.39
study,207a,0.0,5.75,1.48
study,207b,0.0,6.19,1.55
study,207c,1.0,5.5,1.59
study,217a,0.0,1.43,1.14
study,217b,1.0,1.25,0.72
study,217c,0.0,3.61,0.6
study,219a,0.0,2.89,1.65
study,219b,0.0,2.15,1.29
study,221a,0.0,1.17,0.0
study,221b,0.0,0.89,0.0
study,227a,1.0,2.01,2.89
study,227b,1.0,1.14,3.65
study,228a,0.0,1.27,0.88
study,228b,0.0,1.27,0.88
study,248a,1.0,1.93,0.45
study,248b,1.0,1.51,0.34
study,248c,0.0,1.53,1.18
study,248d,0.0,1.01,0.43
study,255a,0.0,1.85,0.84
study,255b,0.0,1.78,0.59
study,259a,1.0,0.96,0.96
study,259b,1.0,0.97,0.0
study,275a,0.0,1.15,1.05
study,275b,0.0,2.08,1.15
study,277a,0.0,1.04,1.48
study,277b,0.0,1.86,0.7
study,305a,0.0,0.97,0.48
study,305b,0.0,2.54,0.0
study,306a,1.0,2.56,1.88
study,306b,0.0,3.07,1.5
study,309a,0.0,3.84,1.01
study,309b,0.0,4.76,1.5
study,30a,0.0,1.01,2.63
study,30b,0.0,0.94,1.6
study,313a,1.0,2.5,0.89
study,313b,0.0,2.93,2.36
study,34a,0.0,0.76,2.02
study,34b,0.0,4.48,0.22
study,36a,0.0,1.3,1.17
study,36b,1.0,0.94,0.57
